Probability,Accuracy,Sensitivity,Specificity
0.0,0.5024390243902439,1.0,0.0
0.1,0.7317073170731707,0.9805825242718447,0.4803921568627451
0.2,0.751219512195122,0.9611650485436893,0.5392156862745098
0.3,0.7804878048780488,0.9611650485436893,0.5980392156862745
0.4,0.7804878048780488,0.941747572815534,0.6176470588235294
0.5,0.8048780487804879,0.9320388349514563,0.6764705882352942
0.6,0.824390243902439,0.8737864077669902,0.7745098039215687
0.7,0.8292682926829268,0.8155339805825242,0.8431372549019608
0.8,0.7804878048780488,0.6116504854368932,0.9509803921568627
0.9,0.6926829268292682,0.3883495145631068,1.0
